	mlog10Padj	mlog10p	Enrichment	BackgroundProporition	nBackground	BackgroundFrequency	CompareProportion	nCompare	CompareFrequency	feature
ZNF202_230	61.2957574905607	62.25	1.37320973454976	0.0651841123465731	218182	14222	0.0895114576122992	27449	2457	ZNF202_230
SOHLH2_819	61.2324574905607	62.1867	1.69903755365198	0.0208633159472367	218182	4552	0.0354475572880615	27449	973	SOHLH2_819
C13orf38SOHLH2_823	61.2324574905607	62.1867	1.69903755365198	0.0208633159472367	218182	4552	0.0354475572880615	27449	973	C13orf38SOHLH2_823
TFDP2_308	61.1112574905607	62.0655	1.60225652761351	0.0273303938913384	218182	5963	0.0437903020146453	27449	1202	TFDP2_308
TFDP3_309	61.1112574905607	62.0655	1.60225652761351	0.0273303938913384	218182	5963	0.0437903020146453	27449	1202	TFDP3_309
TFDP1_310	61.1112574905607	62.0655	1.60225652761351	0.0273303938913384	218182	5963	0.0437903020146453	27449	1202	TFDP1_310
ZBTB7B_216	60.2171574905607	61.1714	1.56184900525789	0.0305799745166879	218182	6672	0.0477613027797005	27449	1311	ZBTB7B_216
MYC_55	59.6161574905607	60.5704	1.45047441814993	0.0452603789496842	218182	9875	0.0656490218222886	27449	1802	MYC_55
KLF13_238	59.0875574905607	60.0418	1.4350214834051	0.0478041268298943	218182	10430	0.0685999489963205	27449	1883	KLF13_238
KLF10_826	59.0875574905607	60.0418	1.4350214834051	0.0478041268298943	218182	10430	0.0685999489963205	27449	1883	KLF10_826
HES4_95	54.8351574905607	55.7894	1.56666383758384	0.0274862270948108	218182	5997	0.0430616780210572	27449	1182	HES4_95
ZBTB33_255	54.0172574905607	54.9715	1.68793343808827	0.0189933175055687	218182	4144	0.0320594557178768	27449	880	ZBTB33_255
NRF1_805	52.0175574905607	52.9718	1.5401353224288	0.0285037262468948	218182	6219	0.0438995956136836	27449	1205	NRF1_805
ZBTB7C_265	46.7556574905607	47.7099	1.45228194665442	0.0355712203573164	218182	7761	0.0516594411453969	27449	1418	ZBTB7C_265
E2F2_311	44.1169574905607	45.0712	1.77510703819116	0.0124987395843837	218182	2727	0.0221866006047579	27449	609	E2F2_311
MYF5_842	39.0703574905607	40.0246	1.21108428089459	0.117498235418137	218182	25636	0.142300265947758	27449	3906	MYF5_842
REST_168	38.4277574905607	39.382	1.23303499445216	0.0975607520327066	218182	21286	0.120295821341397	27449	3302	REST_168
GLIS3_183	35.4304574905607	36.3847	1.38075745208245	0.0373083022430815	218182	8140	0.0515137163466793	27449	1414	GLIS3_183
HIC1_254	33.1840574905607	34.1383	1.29818350163128	0.0548074543271214	218182	11958	0.0711501329738788	27449	1953	HIC1_254
MYOD1_48	32.9961574905607	33.9504	1.19087096673622	0.1202573997855	218182	26238	0.143211045939743	27449	3931	MYOD1_48
TCFL5_25	32.5569574905607	33.5112	1.51695723541585	0.0195249837291802	218182	4260	0.0296185653393566	27449	813	TCFL5_25
KLF8_174	32.2531574905607	33.2074	1.2414197543427	0.0780907682576931	218182	17038	0.0969434223468979	27449	2661	KLF8_174
ZIC2_162	32.0428574905607	32.9971	1.27311692742436	0.0621820315149737	218182	13567	0.079164996903348	27449	2173	ZIC2_162
NFKB2_714	30.2949574905607	31.2492	1.33751019372991	0.0400399666333611	218182	8736	0.053553863528726	27449	1470	NFKB2_714
ZNF524_243	30.1888574905607	31.1431	1.28396884636026	0.0547616210319825	218182	11948	0.0703122153812525	27449	1930	ZNF524_243
E2F5_315	29.8448574905607	30.7991	1.5934014627247	0.0138783217680652	218182	3028	0.0221137382053991	27449	607	E2F5_315
TFAP2E_4	29.5547574905607	30.509	1.25301887042782	0.0661741115215737	218182	14438	0.0829174104703268	27449	2276	TFAP2E_4
TEAD1_796	28.4150574905607	29.3693	1.24461035302379	0.0677920268399776	218182	14791	0.084374658457503	27449	2316	TEAD1_796
