baitID	preyID	N
96744	96664	13
96744	96705	13
116442	116457	13
116442	116461	13
116442	116473	13
122846	122837	13
122846	122852	13
122846	122854	13
234583	234499	13
234583	234633	13
234583	234701	13
234583	234643	13
234583	234673	13
252022	252033	13
252022	252034	13
252022	252037	13
252022	252004	13
436209	436215	13
465996	465957	13
465996	466005	13
465996	466017	13
465996	466010	13
608973	608947	13
608973	608959	13
608973	608939	13
608973	608895	13
608973	608944	13
608973	608988	13
608973	608930	13
608973	608985	13
608973	608990	13
613959	613968	13
754400	754487	13
754400	754475	13
754400	754390	13
52174	52162	12
67868	67890	12
67868	67886	12
67868	67914	12
67868	67941	12
67868	67937	12
67868	67885	12
67868	67902	12
67868	67904	12
67868	67931	12
67868	67882	12
67868	67928	12
96744	96711	12
96744	96681	12
96744	96654	12
116442	116463	12
122846	122855	12
158037	158072	12
234583	234696	12
234583	234662	12
234583	234702	12
234583	234854	12
234583	234612	12
234583	234672	12
252022	251971	12
252022	252012	12
252022	252001	12
252022	252036	12
252022	251980	12
252022	251988	12
280227	280205	12
280227	280230	12
280227	280208	12
436209	436213	12
465996	466011	12
465996	466031	12
465996	466032	12
465996	466009	12
577412	577383	12
608973	608994	12
608973	608992	12
608973	608885	12
608973	608847	12
608973	608938	12
608973	608965	12
608973	608950	12
608973	608942	12
608973	608933	12
608973	608899	12
608973	608957	12
613959	613963	12
754400	754421	12
754400	754381	12
754400	754365	12
754400	754360	12
754400	754391	12
754400	754460	12
754400	754485	12
754400	754486	12
777254	777258	12
52174	52141	11
52174	52073	11
52174	52074	11
52174	52182	11
67868	67881	11
67868	67955	11
67868	67860	11
67868	67943	11
67868	67927	11
67868	67915	11
67868	67919	11
96744	96685	11
96744	96693	11
96744	96646	11
96744	96680	11
96744	96638	11
96744	96885	11
96744	96704	11
96744	96628	11
96744	96640	11
96744	96672	11
96744	96708	11
96744	96636	11
96744	96669	11
96744	96643	11
116442	116464	11
234583	234692	11
234583	234541	11
234583	234639	11
234583	234689	11
234583	234773	11
234583	234547	11
234583	234618	11
234583	234636	11
252022	251922	11
252022	252016	11
252022	251952	11
252022	252013	11
255348	255383	11
280227	280221	11
280227	280244	11
280227	280248	11
280227	280229	11
436209	436204	11
465996	466016	11
465996	466014	11
465996	466026	11
465996	465960	11
465996	466019	11
465996	465972	11
577412	577410	11
608973	608926	11
608973	608925	11
608973	608955	11
608973	608958	11
608973	608934	11
608973	608855	11
608973	608846	11
608973	609052	11
608973	608917	11
